329,Ancestral Reach: Swords,4,3,1,1,2509,1207,0,,-1,-1,46,The Reach
416,Ancient Daedric: Axes,2,1,1,1,3499,1286,0,,-1,-1,48,The Deadlands
417,Ancient Daedric: Belts,2,1,1,1,3500,1286,0,,-1,-1,48,The Deadlands
418,Ancient Daedric: Boots,2,1,1,1,3501,1286,0,,-1,-1,48,The Deadlands
419,Ancient Daedric: Bows,2,1,1,1,3502,1286,0,,-1,-1,48,The Deadlands
420,Ancient Daedric: Chest Pieces,4,3,1,1,3503,1286,0,,-1,-1,48,The Deadlands
421,Ancient Daedric: Daggers,2,1,1,1,3504,1286,0,,-1,-1,48,The Deadlands
422,Ancient Daedric: Gloves,2,1,1,1,3505,1286,0,,-1,-1,48,The Deadlands
423,Ancient Daedric: Helmets,3,2,1,1,3506,1286,0,,-1,-1,48,The Deadlands
424,Ancient Daedric: Legs,2,1,1,1,3507,1286,0,,-1,-1,48,The Deadlands
425,Ancient Daedric: Maces,3,2,1,1,3508,1286,0,,-1,-1,48,The Deadlands
426,Ancient Daedric: Shields,4,3,1,1,3509,1286,0,,-1,-1,48,The Deadlands
427,Ancient Daedric: Shoulders,3,2,1,1,3510,1286,0,,-1,-1,48,The Deadlands
428,Ancient Daedric: Staves,3,2,1,1,3511,1286,0,,-1,-1,48,The Deadlands
429,Ancient Daedric: Swords,4,3,1,1,3512,1286,0,,-1,-1,48,The Deadlands
239,Ancient Dragonguard Lure,4,3,1,0,2287,1133,0,,-1,-1,36,Southern Elsweyr
357,Ancient Extraction Tool,3,2,1,1,2516,1207,0,,-1,-1,46,The Reach
189,Ancient Fertility Totem,2,1,0,1,2237,108,0,,-1,-1,18,Greenshade
199,Ancient Fishing Rod,3,2,1,1,2247,537,0,,-1,-1,21,Khenarthi's Roost
513,Ancient Mariner's Sextant,2,1,0,1,3764,1318,0,,-1,-1,49,High Isle
432,Ancient Morpholith Chisel,4,3,1,0,3515,1286,0,,-1,-1,48,The Deadlands
587,Annotated Sporecrafter Designs,5,4,1,0,0,1414,44,Spore Savant Body Marks,4209,7,51,Telvanni Peninsula
632,Antique Cipher Vestments,4,3,1,0,5846,1413,0,,-1,-1,52,Apocrypha
786,Antique Lockpicking Kit,5,4,1,1,0,816,66,Thieves Guild Armory Station,8371,5,29,Hew's Bane
80,Antique Map of Alik'r Desert,2,1,1,1,2140,104,0,,-1,-1,5,Alik'r Desert
601,Antique Map of Apocrypha,2,1,1,1,4282,1414,0,,-1,-1,51,Telvanni Peninsula
