184,Scale-Etched Slither Pipe,3,2,True,True,2232,381,0,,-1,-1,16,Auridon
538,Scarab-host Box,5,4,True,False,0,1383,37,Barkroot Blessing,4028,10,50,Galen
465,Sclerotic Tentacle,5,4,True,True,0,1318,29,Mora's Whispers,3737,5,49,High Isle
558,Scrib Chitin Padding,5,4,True,True,0,1414,40,Cryptcanon Vestments,4199,5,51,Telvanni Peninsula
659,"Scrying Brazier, Short",4,3,True,True,6024,1413,0,,-1,-1,52,Apocrypha
663,"Scrying Brazier, Tall",4,3,True,True,6028,1413,0,,-1,-1,52,Apocrypha
511,Sea Elf Galleon Helm,4,3,True,True,3762,1318,0,,-1,-1,49,High Isle
804,Sea Serpent Skin Scrollcase,2,1,True,True,8794,537,0,,-1,-1,21,Khenarthi's Roost
476,Sea Silver Chain,5,4,True,True,0,1318,31,Sea-Serpent's Coil,3739,5,49,High Isle
445,Searing Gem,5,4,True,True,0,1286,24,Markyn Ring of Majesty,3547,5,48,The Deadlands
298,Seat of the Snow Prince,4,3,True,True,2349,1160,0,,-1,-1,37,Western Skyrim
144,Secession Stamp Block,2,1,False,True,2192,19,0,,-1,-1,3,Stormhaven
630,Seeker Claw Quill,2,1,False,True,5844,1413,0,,-1,-1,52,Apocrypha
467,Seeker-sinew Thread,5,4,True,True,0,1318,29,Mora's Whispers,3737,5,49,High Isle
225,Series Two Animo Core,2,1,False,True,2273,980,0,,-1,-1,32,Clockwork City
592,Setting Sap,5,4,True,False,0,1414,45,Spore Savant Face Marks,4210,7,51,Telvanni Peninsula
674,Shadowy Creatia Stitching,5,4,True,True,0,1443,54,The Shadow Queen's Cowl,6380,5,53,West Weald
812,Shattered Animunculi Schematic,4,3,True,True,8802,816,0,,-1,-1,29,Hew's Bane
378,Shattered Ayleid Cloak Clasp,3,2,True,True,2720,1261,0,,-1,-1,47,Blackwood
188,Shattered Camoran Antler Crown,4,3,True,False,2236,383,0,,-1,-1,17,Grahtwood
206,Shattered Iron Maiden,4,3,True,False,2254,347,0,,-1,-1,25,Coldharbour
643,"Shelf, Black Soul Gems",4,3,True,True,5857,1286,0,,-1,-1,48,The Deadlands
247,Sheogorath Madness Cube,3,2,True,True,2295,267,0,,-1,-1,39,Eyevea
796,"Ship in a Bottle, Yokudan",4,3,True,True,8786,823,0,,-1,-1,30,Gold Coast
306,Shock Lancer,4,3,True,True,2357,382,0,,-1,-1,20,Reaper's March
295,Shrine of Boethra,5,5,True,True,2346,1133,0,,-1,-1,36,Southern Elsweyr
638,Shrine to Dibella,4,3,True,True,5852,823,0,,-1,-1,30,Gold Coast
194,Silvenar's Scepter,4,3,True,False,2242,58,0,,-1,-1,19,Malabal Tor
257,Silvenari Sap-Stone,4,3,True,True,2308,58,0,,-1,-1,19,Malabal Tor
340,Silver Strand of Syrabane,5,4,True,True,0,1207,16,Pearls of Ehlnofey,2546,5,46,The Reach
169,Silver Wish Medallion,3,2,True,True,2217,117,0,,-1,-1,11,Shadowfen
241,Silvered Nord Drinking Horn,3,2,True,True,2289,1160,0,,-1,-1,37,Western Skyrim
531,Silverthread Stitching,5,4,True,True,0,1383,36,Syrabane's Ward,4000,5,50,Galen
395,Silverweave Cord,5,4,True,True,0,1261,20,Harpooner's Wading Kilt,2725,5,47,Blackwood
474,Singersteel Clasp,5,4,True,True,0,1318,30,Lefthander's Aegis Belt,3738,5,49,High Isle
267,Sixth House Ritual Table,4,3,True,True,2318,849,0,,-1,-1,31,Vvardenfell
794,Sketch: Ancient Dwarven Mechanism,5,4,True,True,8784,823,0,,-1,-1,30,Gold Coast
754,Skinshifter's Cowl,5,4,True,True,0,1502,63,Huntsman's Warmask,7679,5,54,Solstice
70,Sloped Dwarven Guards,4,3,True,False,0,92,6,Ebon Dwarven Wolf,458,17,6,Bangkorai
346,Sloped Dwarven Stalks,5,4,True,False,0,1207,17,Dwarven Scarab,2510,7,46,The Reach
502,Smoothed Stone Grinder,5,4,True,True,0,1318,33,Druidic Provisioning Station,3759,10,49,High Isle
116,Snowy Sabre Cat Fur Strip,5,4,True,True,0,101,9,Snow Treaders,2183,5,13,Eastmarch
401,Soiled Tapestry Scrap,3,2,True,True,0,1261,22,Blackwood Tapestry,2872,15,47,Blackwood
742,Solstice Giant Crocodile Ribs,3,2,True,True,7281,1502,0,,-1,-1,54,Solstice
739,Solstice Giant Crocodile Skull,4,3,True,True,7278,1502,0,,-1,-1,54,Solstice
